Date,League,Team1,Team2,T1 Open,T1 DK,T2 Open,T2 DK
2025/05/17,mlb,Tigers,Blue Jays,-142,-135,+120,+114
2025/05/17,mlb,Nationals,Orioles,+124,+130,-148,-155
2025/05/17,mlb,Rays,Marlins,-135,-148,+114,+124
2025/05/17,mlb,Pirates,Phillies,+230,+270,-285,-340
2025/05/17,mlb,Guardians,Reds,-130,-115,+110,-105
2025/05/17,mlb,Astros,Rangers,+120,+100,-142,-120
2025/05/17,mlb,Cardinals,Royals,+110,-102,-130,-118
2025/05/17,mlb,Braves,Red Sox,+102,+102,-122,-122
2025/05/17,mlb,Twins,Brewers,-110,-125,-110,+105
2025/05/17,mlb,Rockies,Diamondbacks,+270,+310,-340,-395
2025/05/17,mlb,Mariners,Padres,+140,+160,-166,-192
2025/05/17,mlb,Athletics,Giants,+120,+140,-142,-166
2025/05/17,mlb,Angels,Dodgers,+185,+200,-225,-245
2025/05/16,mlb,White Sox,Cubs,+185,+195,-225,-238
2025/05/16,mlb,Guardians,Reds,-118,-122,-102,+102
2025/05/16,mlb,Pirates,Phillies,+185,+190,-225,-230
2025/05/16,mlb,Mets,Yankees,+124,+124,-148,-148
2025/05/16,mlb,Nationals,Orioles,-112,+105,-108,-125
2025/05/16,mlb,Tigers,Blue Jays,-130,-118,+110,-102
2025/05/16,mlb,Rays,Marlins,-110,-130,-110,+110
2025/05/16,mlb,Braves,Red Sox,+110,-108,-130,-112
2025/05/16,mlb,Cardinals,Royals,+130,+130,-155,-155
2025/05/16,mlb,Astros,Rangers,+150,+164,-180,-198
2025/05/16,mlb,Twins,Brewers,-110,-115,-110,-105
2025/05/16,mlb,Mariners,Padres,+130,+150,-155,-180
2025/05/16,mlb,Rockies,Diamondbacks,+310,+300,-395,-380
2025/05/16,mlb,Angels,Dodgers,+240,+260,-298,-325
2025/05/16,mlb,Athletics,Giants,+150,+170,-180,-205
2025/05/15,mlb,Nationals,Braves,+190,+170,-230,-205
2025/05/15,mlb,Twins,Orioles,+114,+105,-135,-125
2025/05/15,mlb,White Sox,Reds,+180,+200,-218,-245
2025/05/15,mlb,Rays,Blue Jays,+140,+145,-166,-175
2025/05/15,mlb,Astros,Rangers,+102,+110,-122,-130
2025/05/15,mlb,Athletics,Dodgers,+164,+205,-198,-250
2025/05/14,mlb,Twins,Orioles,-110,+105,-110,-125
2025/05/14,mlb,Cardinals,Phillies,+136,+160,-162,-192
2025/05/14,mlb,Brewers,Guardians,+124,+102,-148,-122
2025/05/14,mlb,Twins,Orioles,+105,+120,-125,-142
2025/05/14,mlb,Diamondbacks,Giants,-110,-115,-110,-105
2025/05/14,mlb,Yankees,Mariners,-115,-108,-105,-112
2025/05/14,mlb,Cardinals,Phillies,+114,+110,-135,-130
2025/05/14,mlb,Red Sox,Tigers,+170,+205,-205,-250
2025/05/14,mlb,Rays,Blue Jays,+120,+130,-142,-155
2025/05/14,mlb,Pirates,Mets,+210,+220,-258,-270
2025/05/14,mlb,White Sox,Reds,+180,+164,-218,-198
2025/05/14,mlb,Nationals,Braves,+140,+160,-166,-192
2025/05/14,mlb,Marlins,Cubs,+180,+180,-218,-218
2025/05/14,mlb,Rockies,Rangers,+200,+200,-245,-245
2025/05/14,mlb,Royals,Astros,+120,+102,-142,-122
2025/05/14,mlb,Angels,Padres,+154,+164,-185,-198
2025/05/14,mlb,Athletics,Dodgers,+215,+240,-265,-298
2025/05/13,mlb,Brewers,Guardians,+100,+114,-120,-135
2025/05/13,mlb,White Sox,Reds,+170,+180,-205,-218
2025/05/13,mlb,Red Sox,Tigers,-115,+105,-105,-125
2025/05/13,mlb,Rays,Blue Jays,+105,+114,-125,-135
2025/05/13,mlb,Pirates,Mets,+200,+200,-245,-245
2025/05/13,mlb,Nationals,Braves,+185,+180,-225,-218
2025/05/13,mlb,Marlins,Cubs,+195,+215,-238,-265
2025/05/13,mlb,Rockies,Rangers,+185,+195,-225,-238
2025/05/13,mlb,Royals,Astros,+114,+120,-135,-142
2025/05/13,mlb,Yankees,Mariners,-142,-145,+120,+114
2025/05/13,mlb,Angels,Padres,+164,+185,-198,-225
2025/05/13,mlb,Diamondbacks,Giants,-110,-118,-110,-102
2025/05/13,mlb,Athletics,Dodgers,+170,+170,-205,-205
2025/05/13,mlb,Twins,Orioles,+110,+105,-130,-125
2025/05/13,mlb,Cardinals,Phillies,+130,+124,-155,-148
2025/05/12,mlb,Brewers,Guardians,-135,-120,+114,+100
2025/05/12,mlb,Red Sox,Tigers,-110,-112,-110,-108
2025/05/12,mlb,Cardinals,Phillies,+160,+150,-192,-180
